Time, Bi213, Bi209, Pb, Tl
0.0 10000 0 0 0
1.0 9999 0 1 0
2.0 9999 0 1 0
3.0 9997 0 3 0
4.0 9993 0 7 0
5.0 9992 0 8 0
6.0 9989 0 11 0
7.0 9989 0 11 0
8.0 9987 0 13 0
9.0 9987 0 13 0
10.0 9982 0 18 0
11.0 9980 0 20 0
12.0 9973 0 27 0
13.0 9968 1 31 0
14.0 9965 1 34 0
15.0 9964 1 35 0
16.0 9959 1 40 0
17.0 9955 1 44 0
18.0 9954 1 45 0
19.0 9952 1 47 0
20.0 9949 1 50 0
21.0 9944 1 55 0
22.0 9942 2 56 0
23.0 9938 2 60 0
24.0 9936 3 61 0
25.0 9934 3 63 0
26.0 9931 3 65 1
27.0 9929 3 67 1
28.0 9928 3 68 1
29.0 9926 3 70 1
30.0 9921 3 75 1
31.0 9918 3 78 1
32.0 9914 3 82 1
33.0 9911 4 84 1
34.0 9909 5 85 1
35.0 9905 5 89 1
36.0 9902 5 92 1
37.0 9900 6 93 1
38.0 9899 6 94 1
39.0 9896 7 96 1
40.0 9893 7 99 1
41.0 9891 7 101 1
42.0 9890 9 100 1
43.0 9887 9 103 1
44.0 9883 9 107 1
45.0 9881 9 109 1
46.0 9878 11 110 1
47.0 9877 11 111 1
48.0 9874 11 114 1
49.0 9871 11 117 1
50.0 9867 11 121 1
51.0 9865 11 123 1
52.0 9864 11 124 1
53.0 9861 12 126 1
54.0 9861 13 126 0
55.0 9856 13 131 0
56.0 9856 13 131 0
57.0 9854 13 133 0
58.0 9851 13 136 0
59.0 9848 13 139 0
60.0 9846 13 141 0
61.0 9846 13 141 0
62.0 9843 13 143 1
63.0 9842 13 144 1
64.0 9837 14 147 2
65.0 9834 15 149 2
66.0 9830 15 153 2
67.0 9827 16 155 2
68.0 9825 16 157 2
69.0 9820 17 161 2
70.0 9816 17 165 2
71.0 9813 17 168 2
72.0 9811 17 170 2
73.0 9809 17 172 2
74.0 9808 18 172 2
75.0 9803 19 176 2
76.0 9800 20 178 2
77.0 9798 22 178 2
78.0 9796 24 178 2
79.0 9794 24 180 2
80.0 9789 24 185 2
81.0 9784 24 190 2
82.0 9782 25 191 2
83.0 9779 25 194 2
84.0 9777 26 195 2
85.0 9776 26 196 2
86.0 9774 28 197 1
87.0 9769 28 202 1
88.0 9766 28 205 1
89.0 9762 29 207 2
90.0 9759 29 209 3
91.0 9758 29 210 3
92.0 9755 30 212 3
93.0 9755 30 212 3
94.0 9752 31 214 3
95.0 9751 32 214 3
96.0 9750 33 214 3
97.0 9749 33 215 3
98.0 9748 33 216 3
99.0 9747 34 216 3
100.0 9744 36 217 3
101.0 9741 36 220 3
102.0 9739 37 221 3
103.0 9738 39 220 3
104.0 9737 40 220 3
105.0 9734 41 222 3
106.0 9732 41 224 3
107.0 9730 41 226 3
108.0 9729 41 227 3
109.0 9727 42 228 3
110.0 9725 42 230 3
111.0 9724 44 229 3
112.0 9723 46 228 3
113.0 9719 46 232 3
114.0 9716 46 235 3
115.0 9715 46 236 3
116.0 9712 46 239 3
117.0 9712 47 238 3
118.0 9709 49 239 3
119.0 9706 49 242 3
120.0 9700 49 248 3
121.0 9696 49 252 3
122.0 9689 52 256 3
123.0 9682 54 261 3
124.0 9682 54 261 3
125.0 9681 56 260 3
126.0 9680 56 261 3
127.0 9677 56 264 3
128.0 9675 57 265 3
129.0 9670 58 269 3
130.0 9670 58 269 3
131.0 9667 58 272 3
132.0 9660 58 279 3
133.0 9658 59 280 3
134.0 9654 60 283 3
135.0 9650 61 286 3
136.0 9647 62 288 3
137.0 9644 63 290 3
138.0 9642 63 292 3
139.0 9641 64 292 3
140.0 9638 64 295 3
141.0 9637 64 296 3
142.0 9635 67 295 3
143.0 9635 69 293 3
144.0 9631 70 296 3
145.0 9629 70 298 3
146.0 9626 71 300 3
147.0 9621 71 305 3
148.0 9617 71 309 3
149.0 9614 73 310 3
150.0 9612 75 310 3
151.0 9610 75 312 3
152.0 9607 77 313 3
153.0 9603 80 314 3
154.0 9603 82 312 3
155.0 9599 82 316 3
156.0 9594 84 319 3
157.0 9592 85 320 3
158.0 9589 89 319 3
159.0 9588 89 320 3
160.0 9584 89 324 3
161.0 9582 89 326 3
162.0 9581 91 325 3
163.0 9577 92 328 3
164.0 9576 92 329 3
165.0 9574 92 330 4
166.0 9570 94 332 4
167.0 9565 98 333 4
168.0 9561 100 335 4
169.0 9561 102 333 4
170.0 9560 104 332 4
171.0 9557 105 334 4
172.0 9556 106 334 4
173.0 9552 108 337 3
174.0 9550 109 338 3
175.0 9548 111 338 3
176.0 9546 112 339 3
177.0 9542 114 341 3
178.0 9538 117 342 3
179.0 9536 121 340 3
180.0 9535 121 341 3
181.0 9531 121 345 3
182.0 9527 121 349 3
183.0 9524 122 351 3
184.0 9524 126 347 3
185.0 9523 126 348 3
186.0 9519 127 351 3
187.0 9517 128 352 3
188.0 9515 128 354 3
189.0 9511 128 358 3
190.0 9508 129 360 3
191.0 9507 130 360 3
192.0 9507 130 360 3
193.0 9505 130 362 3
194.0 9505 130 362 3
195.0 9503 132 362 3
196.0 9500 133 362 5
197.0 9495 134 365 6
198.0 9492 134 368 6
199.0 9489 135 370 6
200.0 9488 136 370 6
201.0 9485 138 372 5
202.0 9483 139 373 5
203.0 9478 140 377 5
204.0 9477 141 377 5
205.0 9474 142 379 5
206.0 9470 142 383 5
207.0 9470 142 383 5
208.0 9469 144 382 5
209.0 9468 146 381 5
210.0 9465 148 382 5
211.0 9464 151 380 5
212.0 9463 152 380 5
213.0 9461 153 381 5
214.0 9456 154 385 5
215.0 9452 154 389 5
216.0 9447 156 392 5
217.0 9444 157 394 5
218.0 9442 158 395 5
219.0 9438 158 399 5
220.0 9436 158 401 5
221.0 9434 159 402 5
222.0 9431 161 403 5
223.0 9430 161 404 5
224.0 9429 163 403 5
225.0 9426 165 404 5
226.0 9423 168 404 5
227.0 9423 170 402 5
228.0 9422 173 400 5
229.0 9421 174 400 5
230.0 9419 175 401 5
231.0 9417 176 402 5
232.0 9417 176 402 5
233.0 9414 176 405 5
234.0 9411 176 408 5
235.0 9410 176 409 5
236.0 9408 176 411 5
237.0 9406 180 409 5
238.0 9403 181 411 5
239.0 9399 183 413 5
240.0 9399 185 411 5
241.0 9395 187 412 6
242.0 9395 190 409 6
243.0 9390 191 413 6
244.0 9389 193 412 6
245.0 9387 195 412 6
246.0 9385 196 413 6
247.0 9384 198 412 6
248.0 9382 198 414 6
249.0 9381 198 415 6
250.0 9374 200 420 6
251.0 9373 200 421 6
252.0 9373 202 419 6
253.0 9370 202 422 6
254.0 9368 205 420 7
255.0 9365 206 422 7
256.0 9360 206 427 7
257.0 9360 206 427 7
258.0 9358 208 427 7
259.0 9357 209 427 7
260.0 9355 210 428 7
261.0 9352 210 431 7
262.0 9350 211 432 7
263.0 9345 213 435 7
264.0 9344 215 434 7
265.0 9340 215 439 6
266.0 9337 218 439 6
267.0 9335 218 441 6
268.0 9332 220 442 6
269.0 9329 221 444 6
270.0 9328 222 444 6
271.0 9326 224 444 6
272.0 9321 225 448 6
273.0 9320 225 449 6
274.0 9318 227 449 6
275.0 9315 228 451 6
276.0 9313 231 450 6
277.0 9310 231 453 6
278.0 9309 231 454 6
279.0 9306 233 454 7
280.0 9305 233 455 7
281.0 9305 234 454 7
282.0 9304 235 454 7
283.0 9304 236 453 7
284.0 9300 239 454 7
285.0 9297 242 454 7
286.0 9295 243 455 7
287.0 9293 243 457 7
288.0 9291 247 455 7
289.0 9289 248 456 7
290.0 9286 250 456 8
291.0 9286 254 452 8
292.0 9281 256 455 8
293.0 9277 257 458 8
294.0 9274 258 460 8
295.0 9273 260 459 8
296.0 9267 260 465 8
297.0 9265 263 464 8
298.0 9259 265 467 9
299.0 9258 268 465 9
300.0 9256 271 464 9
301.0 9250 272 469 9
302.0 9247 277 467 9
303.0 9245 278 467 10
304.0 9242 280 468 10
305.0 9241 282 467 10
306.0 9240 284 466 10
307.0 9238 285 467 10
308.0 9232 287 471 10
309.0 9226 288 476 10
310.0 9225 290 475 10
311.0 9221 291 479 9
312.0 9221 293 477 9
313.0 9220 293 478 9
314.0 9216 293 481 10
315.0 9215 295 480 10
316.0 9212 296 482 10
317.0 9211 299 480 10
318.0 9209 301 480 10
319.0 9207 302 481 10
320.0 9205 304 481 10
321.0 9205 305 480 10
322.0 9200 307 483 10
323.0 9198 308 484 10
324.0 9198 310 482 10
325.0 9196 311 483 10
326.0 9193 311 486 10
327.0 9187 311 492 10
328.0 9186 312 492 10
329.0 9182 314 494 10
330.0 9179 315 497 9
331.0 9177 316 498 9
332.0 9177 316 498 9
333.0 9176 319 496 9
334.0 9173 320 497 10
335.0 9169 323 498 10
336.0 9166 323 501 10
337.0 9164 323 503 10
338.0 9163 324 503 10
339.0 9162 325 503 10
340.0 9158 326 506 10
341.0 9156 328 506 10
342.0 9154 330 506 10
343.0 9151 332 507 10
344.0 9150 333 507 10
345.0 9146 333 511 10
346.0 9143 337 510 10
347.0 9138 337 515 10
348.0 9133 338 519 10
349.0 9129 340 521 10
